Type,Document,Start,End
L1 Background,United_States-EN-1-47.txt,1,11568
L1 Analysis,United_States-EN-1-47.txt,11569,34344
L2 Outcome,United_States-EN-1-47.txt,34221,34344
L1 Background,United_States-EN-1-48.txt,1,9386
L1 Analysis,United_States-EN-1-48.txt,9391,55932
L2 Outcome,United_States-EN-1-48.txt,55692,55932
L1 Background,United_States-EN-1-49.txt,2,3820
L1 Analysis,United_States-EN-1-49.txt,3821,26577
L2 Outcome,United_States-EN-1-49.txt,25956,26577
L1 Background,United_States-EN-1-50.txt,1,5840
L1 Analysis,United_States-EN-1-50.txt,5842,20098
L2 Outcome,United_States-EN-1-50.txt,19898,20098
L1 Background,United_States-EN-1-68.txt,1,4585
L1 Analysis,United_States-EN-1-68.txt,4586,18474
L2 Outcome,United_States-EN-1-68.txt,17918,18474
L1 Background,United_States-EN-1-60.txt,1,20222
L1 Analysis,United_States-EN-1-60.txt,20223,77713
L2 Outcome,United_States-EN-1-60.txt,77355,77713
L1 Background,United_States-EN-1-102.txt,1,7542
L1 Analysis,United_States-EN-1-102.txt,7545,25323
L2 Outcome,United_States-EN-1-102.txt,25207,25323
L1 Background,United_States-EN-1-101.txt,1,891
L1 Analysis,United_States-EN-1-101.txt,892,15546
L2 Outcome,United_States-EN-1-101.txt,15182,15546
L1 Background,United_States-EN-1-100.txt,2,2334
L1 Analysis,United_States-EN-1-100.txt,2339,5221
L2 Outcome,United_States-EN-1-100.txt,4714,5221
L1 Background,United_States-EN-1-99.txt,1,10157
L1 Analysis,United_States-EN-1-99.txt,10158,31966
L2 Outcome,United_States-EN-1-99.txt,31846,31966
L1 Background,United_States-EN-1-98.txt,1,7070
L1 Analysis,United_States-EN-1-98.txt,7073,12594
L2 Outcome,United_States-EN-1-98.txt,12348,12594
L1 Background,United_States-EN-1-97.txt,4,14858
L1 Analysis,United_States-EN-1-97.txt,14859,55124
L2 Outcome,United_States-EN-1-97.txt,51971,55124
L1 Background,United_States-EN-1-94.txt,1,3446
L1 Analysis,United_States-EN-1-94.txt,3449,31338
L2 Outcome,United_States-EN-1-94.txt,30366,31338
L1 Background,United_States-EN-1-96.txt,1,3802
L1 Analysis,United_States-EN-1-96.txt,3803,36262
L2 Outcome,United_States-EN-1-96.txt,35696,36262
L1 Background,United_States-EN-1-93.txt,1,39057
L1 Analysis,United_States-EN-1-93.txt,39058,90309
L2 Outcome,United_States-EN-1-93.txt,89693,90307
L1 Background,United_States-EN-1-92.txt,4,11820
L1 Analysis,United_States-EN-1-92.txt,11821,27232
L2 Outcome,United_States-EN-1-92.txt,26959,27232
L1 Background,United_States-EN-1-91.txt,1,21467
L1 Analysis,United_States-EN-1-91.txt,21469,51827
L2 Outcome,United_States-EN-1-91.txt,51332,51827
L1 Background,United_States-EN-1-90.txt,1,6742
L1 Analysis,United_States-EN-1-90.txt,6742,21629
L2 Outcome,United_States-EN-1-90.txt,20892,21627
L1 Background,United_States-EN-1-95.txt,11,22228
L1 Analysis,United_States-EN-1-95.txt,22229,78208
L2 Outcome,United_States-EN-1-95.txt,77518,78208
L1 Background,United_States-EN-1-89.txt,1468,14119
L1 Analysis,United_States-EN-1-89.txt,14120,93795
L2 Outcome,United_States-EN-1-89.txt,93035,93795
L1 Background,United_States-EN-1-88.txt,10,9853
L1 Analysis,United_States-EN-1-88.txt,9854,28573
L2 Outcome,United_States-EN-1-88.txt,28340,28573
L1 Background,United_States-EN-1-87.txt,5,8320
L1 Analysis,United_States-EN-1-87.txt,8323,40042
L2 Outcome,United_States-EN-1-87.txt,38184,40040
L1 Background,United_States-EN-1-86.txt,29,9892
L1 Analysis,United_States-EN-1-86.txt,9896,29561
L2 Outcome,United_States-EN-1-86.txt,29429,29561
L1 Background,United_States-EN-1-85.txt,3,7348
L1 Analysis,United_States-EN-1-85.txt,7351,13468
L2 Outcome,United_States-EN-1-85.txt,13370,13468
L1 Background,United_States-EN-1-84.txt,1,12141
L1 Analysis,United_States-EN-1-84.txt,12142,61680
L2 Outcome,United_States-EN-1-84.txt,61124,61678
L1 Analysis,United_States-EN-1-81.txt,1,39832
L2 Outcome,United_States-EN-1-81.txt,39354,39832
L1 Background,United_States-EN-1-81.txt,1,211
L1 Background,United_States-EN-1-79.txt,8,1376
L1 Analysis,United_States-EN-1-79.txt,1377,44482
L2 Outcome,United_States-EN-1-79.txt,44183,44482
L1 Background,United_States-EN-1-78.txt,1,2412
L1 Analysis,United_States-EN-1-78.txt,2413,8521
L2 Outcome,United_States-EN-1-78.txt,8034,8519
L1 Background,United_States-EN-1-80.txt,1,9967
L1 Analysis,United_States-EN-1-80.txt,9972,45687
L2 Outcome,United_States-EN-1-80.txt,44403,45685
L1 Background,United_States-EN-1-77.txt,1,26932
L1 Analysis,United_States-EN-1-77.txt,26934,107593
L2 Outcome,United_States-EN-1-77.txt,105826,107593
L1 Background,United_States-EN-1-76.txt,1,3081
L1 Analysis,United_States-EN-1-76.txt,3084,13135
L2 Outcome,United_States-EN-1-76.txt,12999,13135
L1 Background,United_States-EN-1-75.txt,1,5123
L1 Analysis,United_States-EN-1-75.txt,5126,57035
L2 Outcome,United_States-EN-1-75.txt,56300,57035
L1 Background,United_States-EN-1-74.txt,1,28786
L1 Analysis,United_States-EN-1-74.txt,28787,53328
L2 Outcome,United_States-EN-1-74.txt,52829,53328
L1 Background,United_States-EN-1-82.txt,1,10440
L1 Analysis,United_States-EN-1-82.txt,10443,94952
L2 Outcome,United_States-EN-1-82.txt,93662,94952
L1 Background,United_States-EN-1-73.txt,1,24227
L1 Analysis,United_States-EN-1-73.txt,24229,61940
L2 Outcome,United_States-EN-1-73.txt,61572,61940
L1 Background,United_States-EN-1-71.txt,1,8592
L1 Analysis,United_States-EN-1-71.txt,8593,20970
L2 Outcome,United_States-EN-1-71.txt,20717,20966
L1 Background,United_States-EN-1-70.txt,1,7547
L1 Analysis,United_States-EN-1-70.txt,7548,24311
L2 Outcome,United_States-EN-1-70.txt,23995,24311
L1 Background,United_States-EN-1-67.txt,1,4102
L1 Analysis,United_States-EN-1-67.txt,4109,34219
L2 Outcome,United_States-EN-1-67.txt,33942,34219
L1 Background,United_States-EN-1-69.txt,4,10146
L1 Analysis,United_States-EN-1-69.txt,10147,54275
L2 Outcome,United_States-EN-1-69.txt,54019,54273
L1 Background,United_States-EN-1-64.txt,1,1165
L1 Analysis,United_States-EN-1-64.txt,1167,11233
L2 Outcome,United_States-EN-1-64.txt,11086,11233
L1 Background,United_States-EN-1-65.txt,1,14632
L1 Analysis,United_States-EN-1-65.txt,14642,58695
L2 Outcome,United_States-EN-1-65.txt,57768,58695
L1 Background,United_States-EN-1-66.txt,1,14046
L1 Analysis,United_States-EN-1-66.txt,14047,131806
L2 Outcome,United_States-EN-1-66.txt,128716,131806
L1 Background,United_States-EN-1-83.txt,1,54678
L1 Analysis,United_States-EN-1-83.txt,54679,193832
L1 Background,United_States-EN-1-63.txt,1,3507
L1 Analysis,United_States-EN-1-63.txt,3508,33793
L2 Outcome,United_States-EN-1-63.txt,33164,33793
L1 Background,United_States-EN-1-62.txt,1,15186
L1 Analysis,United_States-EN-1-62.txt,15187,34710
L2 Outcome,United_States-EN-1-62.txt,33766,34710
L1 Background,United_States-EN-1-59.txt,1,4878
L1 Analysis,United_States-EN-1-59.txt,4879,18705
L2 Outcome,United_States-EN-1-59.txt,18300,18704
L1 Background,United_States-EN-1-58.txt,4,9996
L1 Analysis,United_States-EN-1-58.txt,9997,44520
L2 Outcome,United_States-EN-1-58.txt,43771,44520
L1 Background,United_States-EN-1-57.txt,1,2705
L1 Analysis,United_States-EN-1-57.txt,2707,21679
L2 Outcome,United_States-EN-1-57.txt,20837,21679
L1 Background,United_States-EN-1-61.txt,7,10596
L1 Analysis,United_States-EN-1-61.txt,10598,25562
L2 Outcome,United_States-EN-1-61.txt,25189,25562
L1 Background,United_States-EN-1-56.txt,4,3385
L1 Analysis,United_States-EN-1-56.txt,3386,14370
L2 Outcome,United_States-EN-1-56.txt,13583,14370
L1 Background,United_States-EN-1-55.txt,1,1722
L1 Analysis,United_States-EN-1-55.txt,1725,6486
L2 Outcome,United_States-EN-1-55.txt,6213,6486
L1 Background,United_States-EN-1-54.txt,1,17543
L1 Analysis,United_States-EN-1-54.txt,17545,27078
L2 Outcome,United_States-EN-1-54.txt,26682,27078
L1 Background,United_States-EN-1-53.txt,1,4331
L1 Analysis,United_States-EN-1-53.txt,4334,17851
L2 Outcome,United_States-EN-1-53.txt,17270,17849
L1 Background,United_States-EN-1-52.txt,2,34583
L1 Analysis,United_States-EN-1-52.txt,34586,56443
L2 Outcome,United_States-EN-1-52.txt,56197,56443
L1 Background,United_States-EN-1-72.txt,0,10177
L1 Analysis,United_States-EN-1-72.txt,10178,105469
L2 Outcome,United_States-EN-1-72.txt,103486,105469
